temperature,pressure,mass_ratio,H2S_conv,CS2_conv,naphthalene,p_Xylene,toluene,benzene,H2S,methane
580,16,6.32,0.06628993368105417,0.9978714346530438,0.0116,0.0044,0.0254,0.0391,6.8814,95.0189
590,16,6.32,0.0711587401391425,0.9984133280444267,0.0124,0.0047,0.0273,0.042,6.8664,95.0113
600,16,6.32,0.0762392338345389,0.9985190670122177,0.0133,0.005,0.0292,0.045,6.8509,95.0034
610,16,6.32,0.08151730228475632,0.998961218836565,0.0142,0.0054,0.0313,0.0481,6.8346,94.9952
620,16,6.32,0.08700705797228192,0.9990269218293869,0.0152,0.0057,0.0334,0.0514,6.8178,94.9866
630,16,6.32,0.09270850089711573,0.9990867579908675,0.0162,0.0061,0.0356,0.0547,6.8003,94.9776
640,16,6.32,0.09860751857677054,0.9991413852318259,0.0172,0.0065,0.0379,0.0582,6.7821,94.9684
650,16,6.32,0.10471822349373355,0.9991913746630727,0.0183,0.0069,0.0402,0.0618,6.7633,94.9588
660,16,6.32,0.11102650316551745,0.9994916115912558,0.0194,0.0073,0.0426,0.0656,6.7439,94.949
670,16,6.32,0.11754647007460954,0.9995196926032661,0.0205,0.0077,0.0451,0.0694,6.7239,94.9388
680,16,6.32,0.12424989925603547,0.9995456610631531,0.0217,0.0082,0.0477,0.0734,6.7033,94.9283
690,16,6.32,0.1311509031922823,0.9995695221696083,0.0229,0.0086,0.0504,0.0775,6.6821,94.9175
700,16,6.32,0.13823536940086295,0.9995916700694162,0.0242,0.0091,0.0531,0.0817,6.6602,94.9064
710,16,6.32,0.1455174103642645,0.9996120271580989,0.0254,0.0096,0.0559,0.086,6.6379,94.895
720,16,6.32,0.15296880111751268,0.9996309963099631,0.0267,0.0101,0.0588,0.0904,6.6149,94.8833
730,16,6.32,0.16060365414309458,0.9996485061511424,0.0281,0.0106,0.0617,0.0949,6.5914,94.8713
740,16,6.32,0.16840785695852303,0.999664823194235,0.0294,0.0111,0.0647,0.0995,6.5674,94.8591
750,16,6.32,0.17639552204628517,0.9996799487918068,0.0308,0.0116,0.0678,0.1042,6.5428,94.8466
760,16,6.32,0.18452431195891947,0.9996940960538391,0.0323,0.0121,0.0709,0.109,6.5178,94.8338
770,16,6.32,0.19282245166140044,0.9997072599531617,0.0337,0.0127,0.0741,0.1139,6.4923,94.8209
780,16,6.32,0.20127582867124064,0.9998597672135745,0.0352,0.0132,0.0773,0.1189,6.4663,94.8076
790,16,6.32,0.20987033050595302,0.9998655190962883,0.0367,0.0138,0.0806,0.124,6.4398,94.7941
800,16,6.32,0.21860595716553743,0.9998708844415752,0.0382,0.0144,0.084,0.1292,6.4129,94.7805
810,16,6.32,0.227482708649994,0.9998759305210918,0.0398,0.015,0.0874,0.1344,6.3856,94.7666
820,16,6.32,0.2364723599943483,0.9998806397708284,0.0413,0.0156,0.0908,0.1397,6.3579,94.7525
830,16,6.32,0.24560313616357474,0.9998850706815309,0.0429,0.0162,0.0943,0.1451,6.3299,94.7382
840,16,6.32,0.25483269971021166,0.9998892457636505,0.0446,0.0168,0.0979,0.1506,6.3014,94.7237
850,16,6.32,0.26417516311674616,0.9998931623931624,0.0462,0.0174,0.1015,0.1561,6.2727,94.7091
860,16,6.32,0.27363052638317853,0.9998968434082938,0.0478,0.018,0.1051,0.1617,6.2436,94.6943
870,16,6.32,0.28317056454453415,0.9999003289145819,0.0495,0.0186,0.1088,0.1673,6.2142,94.6793
880,16,6.32,0.29279527760081303,0.999903605166763,0.0512,0.0193,0.1125,0.173,6.1846,94.6642
890,16,6.32,0.3025187780345022,0.9999066990110095,0.0529,0.0199,0.1162,0.1787,6.1547,94.649
900,16,6.32,0.31229872839814043,0.9999096249435157,0.0546,0.0206,0.12,0.1845,6.1246,94.6337
910,16,6.32,0.32216335365670196,0.9999123882950762,0.0563,0.0212,0.1238,0.1903,6.0942,94.6182
920,16,6.32,0.3320844288452122,0.9999150021249469,0.0581,0.0219,0.1276,0.1962,6.0637,94.6027
930,16,6.32,0.3420478414811841,0.9999174849410017,0.0598,0.0225,0.1314,0.2021,6.033,94.587
940,16,6.32,0.352067704047105,0.9999198332531666,0.0616,0.0232,0.1353,0.208,6.0022,94.5713
950,16,6.32,0.36212990406048745,0.9999220576773188,0.0633,0.0238,0.1391,0.214,5.9712,94.5556
960,16,6.32,0.3722344415213315,0.9999241734910524,0.0651,0.0245,0.143,0.2199,5.9401,94.5398
970,16,6.32,0.3823530914646628,0.9998523658374548,0.0669,0.0252,0.1469,0.2259,5.909,94.5239
980,16,6.32,0.3924999663729684,0.9998561771897023,0.0686,0.0258,0.1508,0.2319,5.8777,94.508
